ETER_ID,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,Url,NUTS2,NUTS2_Label_2016,NUTS2_Label_2021,NUTS3,NUTS3_Label_2016,NUTS3_Label_2021,platform,error
IT0112,"Accademia delle Belle Arti ""Mario Sironi"" - Sassari",public,Other,No,www.accademiasironi.it,ITG2,Sardegna,Sardegna,ITG2D,,Sassari,desktop,"Message: unknown error: net::ERR_CONNECTION_TIMED_OUT
  (Session info: chrome=131.0.6778.265)
Stacktrace:
	GetHandleVerifier [0x00007FF6A7E780D5+2992373]
	(No symbol) [0x00007FF6A7B0BFD0]
	(No symbol) [0x00007FF6A79A590A]
	(No symbol) [0x00007FF6A79A3061]
	(No symbol) [0x00007FF6A7993BD9]
	(No symbol) [0x00007FF6A799592F]
	(No symbol) [0x00007FF6A7993E9F]
	(No symbol) [0x00007FF6A799371D]
	(No symbol) [0x00007FF6A799363A]
	(No symbol) [0x00007FF6A7991251]
	(No symbol) [0x00007FF6A7991B1C]
	(No symbol) [0x00007FF6A79A89DA]
	(No symbol) [0x00007FF6A7A4038E]
	(No symbol) [0x00007FF6A7A1F36A]
	(No symbol) [0x00007FF6A7A3F584]
	(No symbol) [0x00007FF6A7A1F113]
	(No symbol) [0x00007FF6A79EA918]
	(No symbol) [0x00007FF6A79EBA81]
	GetHandleVerifier [0x00007FF6A7ED6A2D+3379789]
	GetHandleVerifier [0x00007FF6A7EEC32D+3468109]
	GetHandleVerifier [0x00007FF6A7EE0043+3418211]
	GetHandleVerifier [0x00007FF6A7C6C78B+847787]
	(No symbol) [0x00007FF6A7B1757F]
	(No symbol) [0x00007FF6A7B12FC4]
	(No symbol) [0x00007FF6A7B1315D]
	(No symbol) [0x00007FF6A7B02979]
	BaseThreadInitThunk [0x00007FFD73617374+20]
	RtlUserThreadStart [0x00007FFD753FCC91+33]
"
IT0112,"Accademia delle Belle Arti ""Mario Sironi"" - Sassari",public,Other,No,www.accademiasironi.it,ITG2,Sardegna,Sardegna,ITG2D,,Sassari,mobile,"Message: unknown error: net::ERR_CONNECTION_TIMED_OUT
  (Session info: chrome=131.0.6778.265)
Stacktrace:
	GetHandleVerifier [0x00007FF6A7E780D5+2992373]
	(No symbol) [0x00007FF6A7B0BFD0]
	(No symbol) [0x00007FF6A79A590A]
	(No symbol) [0x00007FF6A79A3061]
	(No symbol) [0x00007FF6A7993BD9]
	(No symbol) [0x00007FF6A799592F]
	(No symbol) [0x00007FF6A7993E9F]
	(No symbol) [0x00007FF6A799371D]
	(No symbol) [0x00007FF6A799363A]
	(No symbol) [0x00007FF6A7991251]
	(No symbol) [0x00007FF6A7991B1C]
	(No symbol) [0x00007FF6A79A89DA]
	(No symbol) [0x00007FF6A7A4038E]
	(No symbol) [0x00007FF6A7A1F36A]
	(No symbol) [0x00007FF6A7A3F584]
	(No symbol) [0x00007FF6A7A1F113]
	(No symbol) [0x00007FF6A79EA918]
	(No symbol) [0x00007FF6A79EBA81]
	GetHandleVerifier [0x00007FF6A7ED6A2D+3379789]
	GetHandleVerifier [0x00007FF6A7EEC32D+3468109]
	GetHandleVerifier [0x00007FF6A7EE0043+3418211]
	GetHandleVerifier [0x00007FF6A7C6C78B+847787]
	(No symbol) [0x00007FF6A7B1757F]
	(No symbol) [0x00007FF6A7B12FC4]
	(No symbol) [0x00007FF6A7B1315D]
	(No symbol) [0x00007FF6A7B02979]
	BaseThreadInitThunk [0x00007FFD73617374+20]
	RtlUserThreadStart [0x00007FFD753FCC91+33]
"
IT0138,"Accademia delle Belle Arti legalmente riconosciuta di VERONA ""Cignaroli""",private,Other,No,www.accademiacignaroli.it,ITH3,Veneto,Veneto,ITH31,Verona,Verona,desktop,"Message: unknown error: net::ERR_CONNECTION_RESET
  (Session info: chrome=131.0.6778.265)
Stacktrace:
	GetHandleVerifier [0x00007FF6A7E780D5+2992373]
	(No symbol) [0x00007FF6A7B0BFD0]
	(No symbol) [0x00007FF6A79A590A]
	(No symbol) [0x00007FF6A79A3061]
	(No symbol) [0x00007FF6A7993BD9]
	(No symbol) [0x00007FF6A799592F]
	(No symbol) [0x00007FF6A7993E9F]
	(No symbol) [0x00007FF6A799371D]
	(No symbol) [0x00007FF6A799363A]
	(No symbol) [0x00007FF6A7991251]
	(No symbol) [0x00007FF6A7991B1C]
	(No symbol) [0x00007FF6A79A89DA]
	(No symbol) [0x00007FF6A7A4038E]
	(No symbol) [0x00007FF6A7A1F36A]
	(No symbol) [0x00007FF6A7A3F584]
	(No symbol) [0x00007FF6A7A1F113]
	(No symbol) [0x00007FF6A79EA918]
	(No symbol) [0x00007FF6A79EBA81]
	GetHandleVerifier [0x00007FF6A7ED6A2D+3379789]
	GetHandleVerifier [0x00007FF6A7EEC32D+3468109]
	GetHandleVerifier [0x00007FF6A7EE0043+3418211]
	GetHandleVerifier [0x00007FF6A7C6C78B+847787]
	(No symbol) [0x00007FF6A7B1757F]
	(No symbol) [0x00007FF6A7B12FC4]
	(No symbol) [0x00007FF6A7B1315D]
	(No symbol) [0x00007FF6A7B02979]
	BaseThreadInitThunk [0x00007FFD73617374+20]
	RtlUserThreadStart [0x00007FFD753FCC91+33]
"
IT0138,"Accademia delle Belle Arti legalmente riconosciuta di VERONA ""Cignaroli""",private,Other,No,www.accademiacignaroli.it,ITH3,Veneto,Veneto,ITH31,Verona,Verona,mobile,"Message: unknown error: net::ERR_CONNECTION_RESET
  (Session info: chrome=131.0.6778.265)
Stacktrace:
	GetHandleVerifier [0x00007FF6A7E780D5+2992373]
	(No symbol) [0x00007FF6A7B0BFD0]
	(No symbol) [0x00007FF6A79A590A]
	(No symbol) [0x00007FF6A79A3061]
	(No symbol) [0x00007FF6A7993BD9]
	(No symbol) [0x00007FF6A799592F]
	(No symbol) [0x00007FF6A7993E9F]
	(No symbol) [0x00007FF6A799371D]
	(No symbol) [0x00007FF6A799363A]
	(No symbol) [0x00007FF6A7991251]
	(No symbol) [0x00007FF6A7991B1C]
	(No symbol) [0x00007FF6A79A89DA]
	(No symbol) [0x00007FF6A7A4038E]
	(No symbol) [0x00007FF6A7A1F36A]
	(No symbol) [0x00007FF6A7A3F584]
	(No symbol) [0x00007FF6A7A1F113]
	(No symbol) [0x00007FF6A79EA918]
	(No symbol) [0x00007FF6A79EBA81]
	GetHandleVerifier [0x00007FF6A7ED6A2D+3379789]
	GetHandleVerifier [0x00007FF6A7EEC32D+3468109]
	GetHandleVerifier [0x00007FF6A7EE0043+3418211]
	GetHandleVerifier [0x00007FF6A7C6C78B+847787]
	(No symbol) [0x00007FF6A7B1757F]
	(No symbol) [0x00007FF6A7B12FC4]
	(No symbol) [0x00007FF6A7B1315D]
	(No symbol) [0x00007FF6A7B02979]
	BaseThreadInitThunk [0x00007FFD73617374+20]
	RtlUserThreadStart [0x00007FFD753FCC91+33]
"
IT0112,"Accademia delle Belle Arti ""Mario Sironi"" - Sassari",public,Other,No,www.accademiasironi.it,ITG2,Sardegna,Sardegna,ITG2D,,Sassari,desktop,"Message: unknown error: net::ERR_CONNECTION_TIMED_OUT
  (Session info: chrome=131.0.6778.265)
Stacktrace:
	GetHandleVerifier [0x00007FF6A7E780D5+2992373]
	(No symbol) [0x00007FF6A7B0BFD0]
	(No symbol) [0x00007FF6A79A590A]
	(No symbol) [0x00007FF6A79A3061]
	(No symbol) [0x00007FF6A7993BD9]
	(No symbol) [0x00007FF6A799592F]
	(No symbol) [0x00007FF6A7993E9F]
	(No symbol) [0x00007FF6A799371D]
	(No symbol) [0x00007FF6A799363A]
	(No symbol) [0x00007FF6A7991251]
	(No symbol) [0x00007FF6A7991B1C]
	(No symbol) [0x00007FF6A79A89DA]
	(No symbol) [0x00007FF6A7A4038E]
	(No symbol) [0x00007FF6A7A1F36A]
	(No symbol) [0x00007FF6A7A3F584]
	(No symbol) [0x00007FF6A7A1F113]
	(No symbol) [0x00007FF6A79EA918]
	(No symbol) [0x00007FF6A79EBA81]
	GetHandleVerifier [0x00007FF6A7ED6A2D+3379789]
	GetHandleVerifier [0x00007FF6A7EEC32D+3468109]
	GetHandleVerifier [0x00007FF6A7EE0043+3418211]
	GetHandleVerifier [0x00007FF6A7C6C78B+847787]
	(No symbol) [0x00007FF6A7B1757F]
	(No symbol) [0x00007FF6A7B12FC4]
	(No symbol) [0x00007FF6A7B1315D]
	(No symbol) [0x00007FF6A7B02979]
	BaseThreadInitThunk [0x00007FFD73617374+20]
	RtlUserThreadStart [0x00007FFD753FCC91+33]
"
IT0112,"Accademia delle Belle Arti ""Mario Sironi"" - Sassari",public,Other,No,www.accademiasironi.it,ITG2,Sardegna,Sardegna,ITG2D,,Sassari,mobile,"Message: unknown error: net::ERR_CONNECTION_TIMED_OUT
  (Session info: chrome=131.0.6778.265)
Stacktrace:
	GetHandleVerifier [0x00007FF6A7E780D5+2992373]
	(No symbol) [0x00007FF6A7B0BFD0]
	(No symbol) [0x00007FF6A79A590A]
	(No symbol) [0x00007FF6A79A3061]
	(No symbol) [0x00007FF6A7993BD9]
	(No symbol) [0x00007FF6A799592F]
	(No symbol) [0x00007FF6A7993E9F]
	(No symbol) [0x00007FF6A799371D]
	(No symbol) [0x00007FF6A799363A]
	(No symbol) [0x00007FF6A7991251]
	(No symbol) [0x00007FF6A7991B1C]
	(No symbol) [0x00007FF6A79A89DA]
	(No symbol) [0x00007FF6A7A4038E]
	(No symbol) [0x00007FF6A7A1F36A]
	(No symbol) [0x00007FF6A7A3F584]
	(No symbol) [0x00007FF6A7A1F113]
	(No symbol) [0x00007FF6A79EA918]
	(No symbol) [0x00007FF6A79EBA81]
	GetHandleVerifier [0x00007FF6A7ED6A2D+3379789]
	GetHandleVerifier [0x00007FF6A7EEC32D+3468109]
	GetHandleVerifier [0x00007FF6A7EE0043+3418211]
	GetHandleVerifier [0x00007FF6A7C6C78B+847787]
	(No symbol) [0x00007FF6A7B1757F]
	(No symbol) [0x00007FF6A7B12FC4]
	(No symbol) [0x00007FF6A7B1315D]
	(No symbol) [0x00007FF6A7B02979]
	BaseThreadInitThunk [0x00007FFD73617374+20]
	RtlUserThreadStart [0x00007FFD753FCC91+33]
"
IT0126,"Accademia delle Belle Arti legalmente riconosciuta di NOVARA ""ACME""",private,Other,No,www.acmenovara.it,ITC1,Piemonte,Piemonte,ITC15,Novara,Novara,desktop,"Message: timeout: Timed out receiving message from renderer: 59.578
  (Session info: chrome=131.0.6778.265)
Stacktrace:
	GetHandleVerifier [0x00007FF6A7E780D5+2992373]
	(No symbol) [0x00007FF6A7B0BFD0]
	(No symbol) [0x00007FF6A79A590A]
	(No symbol) [0x00007FF6A7993972]
	(No symbol) [0x00007FF6A799363A]
	(No symbol) [0x00007FF6A7991251]
	(No symbol) [0x00007FF6A7991CFF]
	(No symbol) [0x00007FF6A79A09CE]
	(No symbol) [0x00007FF6A79B4A9D]
	(No symbol) [0x00007FF6A79BB26A]
	(No symbol) [0x00007FF6A7992464]
	(No symbol) [0x00007FF6A79B48C3]
	(No symbol) [0x00007FF6A7A3F8CB]
	(No symbol) [0x00007FF6A7A1F113]
	(No symbol) [0x00007FF6A79EA918]
	(No symbol) [0x00007FF6A79EBA81]
	GetHandleVerifier [0x00007FF6A7ED6A2D+3379789]
	GetHandleVerifier [0x00007FF6A7EEC32D+3468109]
	GetHandleVerifier [0x00007FF6A7EE0043+3418211]
	GetHandleVerifier [0x00007FF6A7C6C78B+847787]
	(No symbol) [0x00007FF6A7B1757F]
	(No symbol) [0x00007FF6A7B12FC4]
	(No symbol) [0x00007FF6A7B1315D]
	(No symbol) [0x00007FF6A7B02979]
	BaseThreadInitThunk [0x00007FFD73617374+20]
	RtlUserThreadStart [0x00007FFD753FCC91+33]
"
IT0138,"Accademia delle Belle Arti legalmente riconosciuta di VERONA ""Cignaroli""",private,Other,No,www.accademiacignaroli.it,ITH3,Veneto,Veneto,ITH31,Verona,Verona,desktop,"Message: unknown error: net::ERR_CONNECTION_RESET
  (Session info: chrome=131.0.6778.265)
Stacktrace:
	GetHandleVerifier [0x00007FF6A7E780D5+2992373]
	(No symbol) [0x00007FF6A7B0BFD0]
	(No symbol) [0x00007FF6A79A590A]
	(No symbol) [0x00007FF6A79A3061]
	(No symbol) [0x00007FF6A7993BD9]
	(No symbol) [0x00007FF6A799592F]
	(No symbol) [0x00007FF6A7993E9F]
	(No symbol) [0x00007FF6A799371D]
	(No symbol) [0x00007FF6A799363A]
	(No symbol) [0x00007FF6A7991251]
	(No symbol) [0x00007FF6A7991B1C]
	(No symbol) [0x00007FF6A79A89DA]
	(No symbol) [0x00007FF6A7A4038E]
	(No symbol) [0x00007FF6A7A1F36A]
	(No symbol) [0x00007FF6A7A3F584]
	(No symbol) [0x00007FF6A7A1F113]
	(No symbol) [0x00007FF6A79EA918]
	(No symbol) [0x00007FF6A79EBA81]
	GetHandleVerifier [0x00007FF6A7ED6A2D+3379789]
	GetHandleVerifier [0x00007FF6A7EEC32D+3468109]
	GetHandleVerifier [0x00007FF6A7EE0043+3418211]
	GetHandleVerifier [0x00007FF6A7C6C78B+847787]
	(No symbol) [0x00007FF6A7B1757F]
	(No symbol) [0x00007FF6A7B12FC4]
	(No symbol) [0x00007FF6A7B1315D]
	(No symbol) [0x00007FF6A7B02979]
	BaseThreadInitThunk [0x00007FFD73617374+20]
	RtlUserThreadStart [0x00007FFD753FCC91+33]
"
IT0138,"Accademia delle Belle Arti legalmente riconosciuta di VERONA ""Cignaroli""",private,Other,No,www.accademiacignaroli.it,ITH3,Veneto,Veneto,ITH31,Verona,Verona,mobile,"Message: unknown error: net::ERR_CONNECTION_RESET
  (Session info: chrome=131.0.6778.265)
Stacktrace:
	GetHandleVerifier [0x00007FF6A7E780D5+2992373]
	(No symbol) [0x00007FF6A7B0BFD0]
	(No symbol) [0x00007FF6A79A590A]
	(No symbol) [0x00007FF6A79A3061]
	(No symbol) [0x00007FF6A7993BD9]
	(No symbol) [0x00007FF6A799592F]
	(No symbol) [0x00007FF6A7993E9F]
	(No symbol) [0x00007FF6A799371D]
	(No symbol) [0x00007FF6A799363A]
	(No symbol) [0x00007FF6A7991251]
	(No symbol) [0x00007FF6A7991B1C]
	(No symbol) [0x00007FF6A79A89DA]
	(No symbol) [0x00007FF6A7A4038E]
	(No symbol) [0x00007FF6A7A1F36A]
	(No symbol) [0x00007FF6A7A3F584]
	(No symbol) [0x00007FF6A7A1F113]
	(No symbol) [0x00007FF6A79EA918]
	(No symbol) [0x00007FF6A79EBA81]
	GetHandleVerifier [0x00007FF6A7ED6A2D+3379789]
	GetHandleVerifier [0x00007FF6A7EEC32D+3468109]
	GetHandleVerifier [0x00007FF6A7EE0043+3418211]
	GetHandleVerifier [0x00007FF6A7C6C78B+847787]
	(No symbol) [0x00007FF6A7B1757F]
	(No symbol) [0x00007FF6A7B12FC4]
	(No symbol) [0x00007FF6A7B1315D]
	(No symbol) [0x00007FF6A7B02979]
	BaseThreadInitThunk [0x00007FFD73617374+20]
	RtlUserThreadStart [0x00007FFD753FCC91+33]
"
IT0107,"Accademia delle Belle Arti di Milano ""Brera""",public,Other,No,www.accademiadibrera.milano.it,ITC4,Lombardia,Lombardia,ITC4C,Milano,Milano,mobile,"Message: timeout: Timed out receiving message from renderer: 59.703
  (Session info: chrome=131.0.6778.265)
Stacktrace:
	GetHandleVerifier [0x00007FF6A7E780D5+2992373]
	(No symbol) [0x00007FF6A7B0BFD0]
	(No symbol) [0x00007FF6A79A590A]
	(No symbol) [0x00007FF6A7993972]
	(No symbol) [0x00007FF6A799363A]
	(No symbol) [0x00007FF6A7991251]
	(No symbol) [0x00007FF6A7991CFF]
	(No symbol) [0x00007FF6A79A09CE]
	(No symbol) [0x00007FF6A79B4A9D]
	(No symbol) [0x00007FF6A79BB26A]
	(No symbol) [0x00007FF6A7992464]
	(No symbol) [0x00007FF6A79B48C3]
	(No symbol) [0x00007FF6A7A3F8CB]
	(No symbol) [0x00007FF6A7A1F113]
	(No symbol) [0x00007FF6A79EA918]
	(No symbol) [0x00007FF6A79EBA81]
	GetHandleVerifier [0x00007FF6A7ED6A2D+3379789]
	GetHandleVerifier [0x00007FF6A7EEC32D+3468109]
	GetHandleVerifier [0x00007FF6A7EE0043+3418211]
	GetHandleVerifier [0x00007FF6A7C6C78B+847787]
	(No symbol) [0x00007FF6A7B1757F]
	(No symbol) [0x00007FF6A7B12FC4]
	(No symbol) [0x00007FF6A7B1315D]
	(No symbol) [0x00007FF6A7B02979]
	BaseThreadInitThunk [0x00007FFD73617374+20]
	RtlUserThreadStart [0x00007FFD753FCC91+33]
"
