NUTS2_Label_2016,final_score
Arnsberg,52.8100206185567
Berlin,53.64652777777778
Brandenburg,53.40642857142857
Braunschweig,53.95583333333333
Bremen,56.285714285714285
Chemnitz,52.04
Darmstadt,55.60686090225563
Detmold,51.59222222222222
Dresden,53.85350453172205
Düsseldorf,52.97642857142857
Freiburg,50.496
Gießen,53.138571428571424
Hamburg,54.60263157894737
Hannover,55.308846153846154
Karlsruhe,54.3145
Kassel,57.64833333333334
Koblenz,51.99357142857143
Köln,55.84550000000001
Leipzig,52.416382978723405
Lüneburg,53.32666666666666
Mecklenburg-Vorpommern,54.06714285714286
Mittelfranken,52.58625
Münster,52.1475
Niederbayern,60.45333333333333
Oberbayern,56.28380952380953
Oberfranken,55.87375
Oberpfalz,54.330000000000005
Rheinhessen-Pfalz,50.212
Saarland,55.108333333333334
Sachsen-Anhalt,51.82875
Schleswig-Holstein,54.738461538461536
Schwaben,51.842542372881354
Stuttgart,54.714285714285715
Thüringen,52.939359331476325
Trier,54.03166666666667
Tübingen,52.394999999999996
Unterfranken,56.45
Weser-Ems,52.50714285714286
