NUTS2_Label_2016,final_score
Alsace,56.91375000000001
Aquitaine,54.91461538461539
Auvergne,59.511250000000004
Basse-Normandie ,55.148
Bourgogne,50.835
Bretagne,52.52738751814224
Centre — Val de Loire,55.256
Champagne-Ardenne,54.51375
Corse,50.86
Extra-Regio NUTS 2,57.2196694214876
Franche-Comté,50.44916666666667
Guadeloupe,51.26499999999999
Guyane,50.88
Haute-Normandie ,55.06111111111111
Ile-de-France,53.91036731207289
La Réunion ,50.77
Languedoc-Roussillon,53.598499999999994
Limousin,58.58
Lorraine,52.837142857142865
Midi-Pyrénées,53.41719101123595
Nord-Pas de Calais,53.05322115384615
Pays de la Loire,53.72646179401993
Picardie,55.35
Poitou-Charentes,56.149
Provence-Alpes-Côte d’Azur,52.77041666666666
Rhône-Alpes,56.291234567901235
