NUTS2_Label_2016,final_score
Abruzzo,50.945
Basilicata,54.51833333333333
Calabria,55.92550000000001
Campania,56.07035714285714
Emilia-Romagna,53.815333333333335
Friuli-Venezia Giulia,56.37199999999999
Lazio,54.614887039239
Liguria,62.755
Lombardia,55.364464285714284
Marche,53.90611111111111
Molise,52.4875
Piemonte,54.255
Provincia Autonoma di Bolzano/Bozen,56.394999999999996
Provincia Autonoma di Trento,53.2975
Puglia,56.388828125
Sardegna,53.997499999999995
Sicilia,50.21208333333334
Toscana,54.588359201773834
Umbria,54.705999999999996
Valle d’Aosta/Vallée d’Aoste,53.85
Veneto,54.49583333333333
